Parameter,nState,Avg,Std,HillRange
monoMulti,1,0,0,1
monoMulti,2,1,0,1
monoMulti,3,1,0,1
monoMulti,4,1,0,1
nState,1,0,0,1
nState,2,1,0,1
nState,3,1,0,1
nState,4,1,0,1
Phase,1,0.11547969795420868,0.001981141582708111,1
Phase,2,0.9999999999999999,2.603703785810335e-16,1
Phase,3,1,2.7194799110210365e-16,1
Phase,4,1,0,1
monoMulti,1,0.03298800477965093,0.0014575922360951677,1-3
monoMulti,2,0.589463594022326,0.0032713280137243667,1-3
monoMulti,3,0.5126896035239662,0.011466583457222772,1-3
monoMulti,4,0.42529797841441885,0.0915717320998249,1-3
nState,1,0.032988004779650935,0.0014575922360951746,1-3
nState,2,0.6005118009125215,0.0031541109301533744,1-3
nState,3,0.9455953001075678,0.0031316538227779567,1-3
nState,4,1,0,1-3
Phase,1,0.07520883707567444,0.004977317024785682,1-3
Phase,2,0.6465658796906515,0.0052600015145821384,1-3
Phase,3,0.9629684847802116,9.423540541095985e-4,1-3
Phase,4,0.9999999999999999,1.3597399555105182e-16,1-3
monoMulti,1,0.06904178110290846,0.006162878575277359,2-3
monoMulti,2,0.35621942023136416,0.005316184893425749,2-3
monoMulti,3,0.2301218454980742,0.006380443795213649,2-3
monoMulti,4,0.11802244209091817,0.05392873983147647,2-3
nState,1,0.06904178110290846,0.006162878575277359,2-3
nState,2,0.38094517709943293,0.006183590375786152,2-3
nState,3,0.7479187898754837,0.013537285787808717,2-3
nState,4,0.9711690715390308,0.04993663292378224,2-3
Phase,1,0.08223413801897725,0.006809388873583358,2-3
Phase,2,0.427984961511839,0.006928307896454881,2-3
Phase,3,0.772039887402352,0.011671310334604012,2-3
Phase,4,1,1.5700924586837752e-16,2-3
monoMulti,1,0.09424436795273106,0.006007343065529732,2-4
monoMulti,2,0.25720081219143154,0.006395832997346671,2-4
monoMulti,3,0.13316910484100655,0.004407283095128534,2-4
monoMulti,4,0.081563069285041,0.03958465076844958,2-4
nState,1,0.09424436795273107,0.006007343065529731,2-4
nState,2,0.29607165672034974,0.006129633749420539,2-4
nState,3,0.61096889618393,0.014950123250617318,2-4
nState,4,0.879140541710366,0.03616445155255757,2-4
Phase,1,0.10388428398446893,0.0061339882035786174,2-4
Phase,2,0.3399156174960671,0.0034611505779774307,2-4
Phase,3,0.6389710148273422,0.01354601802839477,2-4
Phase,4,0.9540558600096974,0.021977995363700924,2-4
monoMulti,1,0.12028816081131187,9.768729471985895e-4,3-5
monoMulti,2,0.14452722031949497,0.004432364645190234,3-5
monoMulti,3,0.042068765052209335,0.005628379776178961,3-5
monoMulti,4,0.03437700321629044,0.019543972417500825,3-5
nState,1,0.12028816081131187,9.768729471985736e-4,3-5
nState,2,0.20436589156467486,0.0022960026327034453,3-5
nState,3,0.35621766943523925,0.006650424330200981,3-5
nState,4,0.80784940712273,0.03857040761832493,3-5
Phase,1,0.12666107493541331,0.0020391467821063375,3-5
Phase,2,0.24821339644572163,9.943375643700514e-4,3-5
Phase,3,0.39414872623522973,0.01089621297728735,3-5
Phase,4,0.8928608069898023,0.05854050547145389,3-5
monoMulti,1,0.1284028985740925,0.0013487171162569781,4-6
monoMulti,2,0.10762737036254476,0.004259572755106052,4-6
monoMulti,3,0.026085027655412596,0.003923168920691138,4-6
monoMulti,4,0.009939316102538733,0.009177149881670782,4-6
nState,1,0.1284028985740925,0.0013487171162569781,4-6
nState,2,0.1823065622344218,0.004691694174713246,4-6
nState,3,0.27394386225623124,0.0023730950871897064,4-6
nState,4,0.6784883217407754,0.09536620204247594,4-6
Phase,1,0.13439527114339495,0.001956749561654332,4-6
Phase,2,0.22065794381954248,0.005899392785842711,4-6
Phase,3,0.3194415436131279,0.011323776811081395,4-6
Phase,4,0.7666045193668971,0.09206367847916272,4-6
monoMulti,1,0.12444816766430505,0.003640306381304348,5-7
monoMulti,2,0.09397705765489531,0.0022746892907943798,5-7
monoMulti,3,0.018950442108575057,0.0026874798592027294,5-7
monoMulti,4,0.011303730719742297,0.01219530188756764,5-7
nState,1,0.12444816766430505,0.003640306381304348,5-7
nState,2,0.17471819705667122,0.006013577080910615,5-7
nState,3,0.23239369277589625,0.006794483657975313,5-7
nState,4,0.7332104456676998,0.028697252881337024,5-7
Phase,1,0.1289184458936629,0.0037609133264003905,5-7
Phase,2,0.21156074765489358,0.00813912028741807,5-7
Phase,3,0.2794041811657787,0.0033765836560657697,5-7
Phase,4,0.8707414731472173,0.03052175006684721,5-7
monoMulti,1,0.11849865623587266,0.00273500986878142,6-8
monoMulti,2,0.0895176486744586,0.002662465381895686,6-8
monoMulti,3,0.016940628324853865,0.0018226731851145002,6-8
monoMulti,4,0.006100714909082407,0.005283374092511836,6-8
nState,1,0.11849865623587266,0.00273500986878142,6-8
nState,2,0.17128005538971713,0.003605061650084505,6-8
nState,3,0.2151527746214146,0.013367732997957018,6-8
nState,4,0.5931854004122447,0.010770766662350167,6-8
Phase,1,0.12238725314992191,0.0029428897477449803,6-8
Phase,2,0.20438543164654402,0.00387782214095391,6-8
Phase,3,0.2629877456907369,0.01603737414385024,6-8
Phase,4,0.7366882747629316,0.031279862053443096,6-8
monoMulti,1,0.11419755416106489,0.002535792895864324,7-9
monoMulti,2,0.08356498802901814,0.005847226928627368,7-9
monoMulti,3,0.01531661850736202,0.002680120152006879,7-9
monoMulti,4,0,0,7-9
nState,1,0.11419755416106489,0.0025357928958643174,7-9
nState,2,0.1632955904551751,0.008040386231968608,7-9
nState,3,0.20171704857079814,0.014920086275908184,7-9
nState,4,0.608691969043672,0.06595198600950852,7-9
Phase,1,0.11759613493260822,0.0027186098058654402,7-9
Phase,2,0.19361443874510523,0.010672176385735194,7-9
Phase,3,0.24529094629085552,0.017108024845716385,7-9
Phase,4,0.71235661853527,0.0462156684475272,7-9
monoMulti,1,0.10887112886425088,0.003477464452925704,8-10
monoMulti,2,0.07650359233987394,0.0021301015324660458,8-10
monoMulti,3,0.01303394662359524,3.459853820580277e-4,8-10
monoMulti,4,0.005352566888513926,0.00927091780181698,8-10
nState,1,0.10887112886425088,0.003477464452925704,8-10
nState,2,0.1542827544435004,0.0025459718614593008,8-10
nState,3,0.19460620664504166,0.00336583485760404,8-10
nState,4,0.5646634102517796,0.08981998720907436,8-10
Phase,1,0.11166959733921354,0.003406873469421172,8-10
Phase,2,0.18152155610625909,0.00346600421299237,8-10
Phase,3,0.23190267917659915,0.004110489641091207,8-10
Phase,4,0.6670822179188327,0.09733715108227431,8-10
monoMulti,1,0.09848597395978768,0.0012346060941209303,9-11
monoMulti,2,0.07484920903754048,6.064939643457408e-4,9-11
monoMulti,3,0.01327770973065605,0.005611005312513852,9-11
monoMulti,4,0.0029955318875605,0.005188413424947487,9-11
nState,1,0.09848597395978768,0.0012346060941209255,9-11
nState,2,0.15067902772233543,0.0017443855294841395,9-11
nState,3,0.1783289640905285,0.013550622698142804,9-11
