Parameter,nState,Avg,Std,HillRange
monoMulti,1,0,0,1
monoMulti,2,0.9511475880241893,0.001879445754349936,1
monoMulti,3,0.9432970890050101,0.002239359221710792,1
monoMulti,4,0.9194367674250264,0.002065600948224176,1
monoMulti,5,0.9400373214903086,0.10385840573670388,1
monoMulti,6,NA,NA,1
monoMulti,7,NA,NA,1
nState,1,0,0,1
nState,2,0.9518530889260679,0.0026917176626729705,1
nState,3,0.9991858574156632,0.0014101363206766397,1
nState,4,1,0,1
nState,5,1,0,1
nState,6,NA,NA,1
nState,7,NA,NA,1
Phase,1,0.0525870689330004,0.0036933825387833225,1
Phase,2,0.9688339803826402,0.0017171387033393386,1
Phase,3,1.0000000000000004,0,1
Phase,4,0.9999999999999998,5.026748538604307e-16,1
Phase,5,1,1.5700924586837752e-16,1
Phase,6,NA,NA,1
Phase,7,NA,NA,1
monoMulti,1,0.02223225559862218,0.0032782383995720848,1-3
monoMulti,2,0.30490135725612816,0.004259360699150057,1-3
monoMulti,3,0.2657354128215137,0.0041618584871040264,1-3
monoMulti,4,0.20963114946436343,0.016747010661489436,1-3
monoMulti,5,0.13615122478646913,0.05790398699197112,1-3
monoMulti,6,0,0,1-3
monoMulti,7,NA,NA,1-3
nState,1,0.02223225559862218,0.0032782383995720848,1-3
nState,2,0.31110113903623277,0.004676551909278932,1-3
nState,3,0.8955064324326768,0.008910676998174792,1-3
nState,4,0.992776048756016,0.0062601563106496816,1-3
nState,5,1,0,1-3
nState,6,1,0,1-3
nState,7,NA,NA,1-3
Phase,1,0.03620638650235364,0.005988398049177759,1-3
Phase,2,0.3427884019876404,0.0036769427124759336,1-3
Phase,3,0.915998059480099,0.011820520962964985,1-3
Phase,4,0.9993183367416499,0.0011806753971163478,1-3
Phase,5,0.9999999999999999,1.3597399555105182e-16,1-3
Phase,6,1,0,1-3
Phase,7,NA,NA,1-3
monoMulti,1,0.033968333020337804,0.0032478995443473452,2-3
monoMulti,2,0.14182622698600902,0.005526593498910597,2-3
monoMulti,3,0.09386277165907055,0.0030407315729318765,2-3
monoMulti,4,0.05072426288784956,0.0032271454278634194,2-3
monoMulti,5,0.019272633913133504,0.017497913800484603,2-3
monoMulti,6,0.0296018798264855,0.05127195985902106,2-3
monoMulti,7,0,0,2-3
nState,1,0.033968333020337804,0.0032478995443473452,2-3
nState,2,0.14998673068686874,0.0037982397021791904,2-3
nState,3,0.7617445501230516,0.0018784986752589828,2-3
nState,4,0.961914719827689,0.01319510391632636,2-3
nState,5,1,0,2-3
nState,6,1,0,2-3
nState,7,1,0,2-3
Phase,1,0.040796743013787044,0.002300602512339698,2-3
Phase,2,0.17238404421463246,0.002005500649261819,2-3
Phase,3,0.7858913822165577,0.006933174716245825,2-3
Phase,4,0.9790067207388509,0.008577686358228923,2-3
Phase,5,1,0,2-3
Phase,6,1,0,2-3
Phase,7,1,0,2-3
monoMulti,1,0.057372812083185516,0.0015729027068222623,2-4
monoMulti,2,0.10477860989384319,0.007023915700834214,2-4
monoMulti,3,0.05671301145398918,0.003673571199980031,2-4
monoMulti,4,0.02984508014436117,0.005499974581472166,2-4
monoMulti,5,0.008202485781961966,0.0071035610613597285,2-4
monoMulti,6,0.021835948339071893,0.037820971954721755,2-4
monoMulti,7,NA,NA,2-4
