Parameter,nState,Avg,Std,HillRange
monoMulti,1,0,0,1
monoMulti,2,0.9853380895202173,0.005617966715544875,1
monoMulti,3,0.8861059026569182,0.005166675688034008,1
monoMulti,4,0.9156154242927219,0.018058406646305303,1
monoMulti,5,0.8481590847578204,0.04274740129989764,1
nState,1,0,0,1
nState,2,0.9853380895202173,0.005617966715544875,1
nState,3,1,0,1
nState,4,1,0,1
nState,5,1,0,1
Phase,1,0.013553567712844213,0.005766082448303525,1
Phase,2,0.9907709216611135,0.0034930463871178648,1
Phase,3,1,0,1
Phase,4,1,0,1
Phase,5,1,0,1
monoMulti,1,0.005321019654267296,0.0026604732126416005,1-3
monoMulti,2,0.4782693719380053,0.00353327198640381,1-3
monoMulti,3,0.2326661242961321,0.006113881417753517,1-3
monoMulti,4,0.2529508733481353,0.021633468581098582,1-3
monoMulti,5,0.15398689543757368,0.013946396689156995,1-3
nState,1,0.005321019654267296,0.0026604732126416005,1-3
nState,2,0.48485654983445425,0.0045497228362489225,1-3
nState,3,0.8416383071373121,0.006527546485533023,1-3
nState,4,0.9765107074036221,0.008686211920737895,1-3
nState,5,0.9887060576682952,0.019561681936265524,1-3
Phase,1,0.01090254734894051,0.00628449565698192,1-3
Phase,2,0.5113763640664409,0.0036441993600065032,1-3
Phase,3,0.850774808529065,0.004974536062785789,1-3
Phase,4,0.9834964073037853,0.004361851709433571,1-3
Phase,5,0.9900736644453627,0.01719291751360924,1-3
monoMulti,1,0.0064151010920388465,0.0017913679523247946,2-3
monoMulti,2,0.32737407131281526,0.006504674508643716,2-3
monoMulti,3,0.11384457483715837,0.0033344655591720338,2-3
monoMulti,4,0.09512577233773968,0.0022716583813472504,2-3
monoMulti,5,0.03766630897308305,0.010680539085406993,2-3
nState,1,0.0064151010920388465,0.0017913679523247946,2-3
nState,2,0.3354845520382578,0.007369278962005278,2-3
nState,3,0.7559255882538538,0.004164657495927757,2-3
nState,4,0.9501833679192915,0.0035504524200042423,2-3
nState,5,1,0,2-3
Phase,1,0.0064664639605817465,0.0017912092450562964,2-3
Phase,2,0.3614283070948163,0.009201976525091811,2-3
Phase,3,0.767581107659555,0.0046097104243955165,2-3
Phase,4,0.9692312380804637,0.004085974917098502,2-3
Phase,5,1,0,2-3
monoMulti,1,0.01083779339795638,0.00523725325051278,2-4
monoMulti,2,0.2517335953437311,0.012265090639337261,2-4
monoMulti,3,0.08227564566554219,0.003507739161457805,2-4
monoMulti,4,0.06714830662804924,0.0015700263979055464,2-4
monoMulti,5,0.025975829880664103,0.0030030085492562548,2-4
nState,1,0.01083779339795638,0.00523725325051278,2-4
nState,2,0.2608084764493275,0.011393302414413732,2-4
nState,3,0.6681332959048972,0.0077287792443999715,2-4
nState,4,0.9373571807929565,0.01248641923084393,2-4
nState,5,0.9771746511395802,0.021057309972713982,2-4
Phase,1,0.01128349045834679,0.005062593799063765,2-4
Phase,2,0.2792568943031659,0.014410392860673929,2-4
Phase,3,0.6786748540813317,0.008421402220608713,2-4
Phase,4,0.9599146756245173,0.003180856928400475,2-4
Phase,5,0.9804916775152632,0.017888792130245832,2-4
monoMulti,1,0.015176001734384487,0.002561782240252148,3-5
monoMulti,2,0.1522422021839039,4.521859192844512e-4,3-5
monoMulti,3,0.041069853270423055,7.712913459247984e-4,3-5
monoMulti,4,0.026509626593567658,0.00511693469784918,3-5
monoMulti,5,0.0086221300280087,0.003169298891319977,3-5
nState,1,0.015176001734384487,0.002561782240252148,3-5
nState,2,0.16603543936987897,0.0027801588251789963,3-5
nState,3,0.539401352727726,0.0057503236358803275,3-5
nState,4,0.8878618875281092,0.016354087468822817,3-5
nState,5,0.9613254234354477,0.01811252258225092,3-5
Phase,1,0.01520030842592935,0.0025883723261863217,3-5
Phase,2,0.17908758161705665,0.0036262543114201594,3-5
Phase,3,0.550740631987876,0.004877468849535953,3-5
Phase,4,0.910530163831258,0.01521099786983627,3-5
Phase,5,0.9627232156706788,0.01866184845737968,3-5
monoMulti,1,0.02351847290907598,9.9143554530708e-4,4-6
monoMulti,2,0.11366578919593603,0.002401228030927487,4-6
monoMulti,3,0.028561315232270717,0.0015777558885771005,4-6
monoMulti,4,0.016045040528418535,0.0015226100681709144,4-6
monoMulti,5,0.0029268034696126235,0.0014024510724538562,4-6
nState,1,0.02351847290907598,9.9143554530708e-4,4-6
nState,2,0.13268886299711816,0.0034551606208799088,4-6
nState,3,0.4540299772310353,0.009157665580589511,4-6
nState,4,0.8341527276296206,0.004072587797590245,4-6
nState,5,0.9024264548146665,0.012851086512302691,4-6
Phase,1,0.023876267904403493,4.978596980617175e-4,4-6
Phase,2,0.14263598233877264,0.004761499445361024,4-6
Phase,3,0.4655740544299412,0.00782966087120607,4-6
Phase,4,0.8632621402650269,0.010108667737065051,4-6
Phase,5,0.9042717123186517,0.013160606747540599,4-6
monoMulti,1,0.02590073040702078,0.0019266041452362923,5-7
monoMulti,2,0.08836555272542997,0.002322331395629038,5-7
monoMulti,3,0.02154008957076996,0.001047271518648319,5-7
monoMulti,4,0.010278389947893173,0.0032937003546740424,5-7
monoMulti,5,0.0012614941061707865,0.0011041364739516224,5-7
nState,1,0.02590073040702078,0.0019266041452362923,5-7
nState,2,0.10831919962875079,0.0032792615655261397,5-7
nState,3,0.39741734471962137,0.0030714157410150454,5-7
nState,4,0.7831501603248135,0.020223736189405834,5-7
