Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.0018935925309549967,4.7066427837877097e-4,1
monoMulti,2,0.9591102046308574,0.005647536234650239,1
monoMulti,3,0.9362048641237152,0.005611082606148699,1
monoMulti,4,0.9202253857014396,0.001963252042649924,1
monoMulti,5,0.9153638324266583,0.01745047628853931,1
monoMulti,6,0.8932194989325927,0.12329793870346105,1
monoMulti,7,NA,NA,1
nState,1,0.0018935925309549967,4.7066427837877097e-4,1
nState,2,0.9591102046308574,0.005647536234650239,1
nState,3,1,0,1
nState,4,1,0,1
nState,5,1,0,1
nState,6,1,0,1
nState,7,NA,NA,1
Phase,1,0.049396557250960926,0.004034933476330731,1
Phase,2,0.9839038764059768,0.0016822939571522258,1
Phase,3,1,4.440892098500626e-16,1
Phase,4,1,3.510833468576701e-16,1
Phase,5,0.9999999999999999,8.81212206892831e-16,1
Phase,6,0.9999999999999999,3.4219371797089426e-16,1
Phase,7,NA,NA,1
monoMulti,1,0.021272941468653588,0.003079800604680285,1-3
monoMulti,2,0.4722177420203912,0.004431395837364628,1-3
monoMulti,3,0.32032678556556315,0.006008016959877253,1-3
monoMulti,4,0.3013012800776814,0.005891607463936205,1-3
monoMulti,5,0.2933788227554115,0.03284038546027843,1-3
monoMulti,6,0.32772340598316124,0.07140074170065294,1-3
nState,1,0.021272941468653588,0.003079800604680285,1-3
nState,2,0.49862128984693843,0.00337870294285875,1-3
nState,3,0.7411643844523071,0.0031790323552983307,1-3
nState,4,0.9310232155511899,0.0058820649323845725,1-3
nState,5,1,0,1-3
nState,6,0.9800847743642246,0.03449418264536128,1-3
Phase,1,0.03158733839438865,0.00784519446225622,1-3
Phase,2,0.5935751518718936,0.0027622780026351356,1-3
Phase,3,0.7914454451018595,0.00349587555971044,1-3
Phase,4,0.9491026710411186,0.004194100687424298,1-3
Phase,5,1.0000000000000004,4.710277376051325e-16,1-3
Phase,6,0.9925943884350442,0.012826895491622761,1-3
monoMulti,1,0.015740068169047855,0.00101764883373342,2-3
monoMulti,2,0.37090629284551335,0.007411027913518144,2-3
monoMulti,3,0.23693513103692757,0.0023503822351636284,2-3
monoMulti,4,0.21407891870447307,0.005378949165234611,2-3
monoMulti,5,0.18439177595530948,0.010094187253873897,2-3
monoMulti,6,0.19516196873376618,0.12352509814563178,2-3
monoMulti,7,NA,NA,2-3
nState,1,0.015740068169047855,0.00101764883373342,2-3
nState,2,0.4189268666726384,0.003375614570932293,2-3
nState,3,0.595130399739652,0.007934217607604594,2-3
nState,4,0.8390945416816884,0.011679717535395404,2-3
nState,5,0.995760155002429,0.007343626952009811,2-3
nState,6,1,0,2-3
nState,7,NA,NA,2-3
Phase,1,0.021547215227310224,0.00231562583040055,2-3
Phase,2,0.4948893626756513,0.003915681133799828,2-3
Phase,3,0.6522309495034846,0.003382428542576539,2-3
Phase,4,0.8735049490141625,0.008734824902814992,2-3
Phase,5,0.9988405355630626,0.002008251314345349,2-3
Phase,6,1,1.5700924586837752e-16,2-3
Phase,7,NA,NA,2-3
monoMulti,1,0.016757507244757077,2.461873550750128e-4,2-4
monoMulti,2,0.3069335166016559,0.0038570075744940135,2-4
monoMulti,3,0.1946862591882442,0.001524264757204197,2-4
monoMulti,4,0.16268998838411142,0.006533178427304476,2-4
monoMulti,5,0.14501822876920326,0.003229527766535363,2-4
monoMulti,6,0.09934522623058378,0.019764559943558635,2-4
monoMulti,7,0.0636248348737032,0.1102014466244341,2-4
monoMulti,8,NA,NA,2-4
nState,1,0.016757507244757077,2.461873550750128e-4,2-4
nState,2,0.352585512827313,0.004367117686320961,2-4
nState,3,0.5082229628723521,0.008635597311793117,2-4
