Phase,Freq.x,Freq.y,Freq,Avg,Std,HillRange,nStates
-1,0.0027,0.0036,0.0024,0.0029,6.244997998398398e-4,1,2
0000,0.0026,0.0029,0.0034,0.0029666666666666665,4.04145188432738e-4,1,1
0000-0001,3e-4,5e-4,2e-4,3.333333333333333e-4,1.5275252316519468e-4,1,2
0000-0002,5e-4,3e-4,6e-4,4.6666666666666666e-4,1.5275252316519465e-4,1,2
0000-0002-0300-0302,2e-4,1e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1,4
0000-0002-0302,2e-4,2e-4,4e-4,2.666666666666667e-4,1.1547005383792516e-4,1,3
0000-0003,2e-4,NA,1e-4,NA,NA,1,2
0000-0003-0103,1e-4,NA,NA,NA,NA,1,3
0000-0003-0200-0303,1e-4,3e-4,3e-4,2.3333333333333333e-4,1.1547005383792513e-4,1,4
0000-0003-0303,0.0028,0.0018,0.0022,0.002266666666666667,5.033222956847167e-4,1,3
0000-0100,3e-4,7e-4,2e-4,3.9999999999999996e-4,2.6457513110645904e-4,1,2
0000-0100-0303,0.0011,5e-4,4e-4,6.666666666666668e-4,3.7859388972001824e-4,1,3
0000-0103-0200-0303,1e-4,1e-4,NA,NA,NA,1,4
0000-0103-0300-0303,2e-4,2e-4,3e-4,2.3333333333333333e-4,5.773502691896256e-5,1,4
0000-0103-0303,0.001,0.0011,7e-4,9.333333333333333e-4,2.081665999466133e-4,1,3
0000-0200,6e-4,NA,4e-4,NA,NA,1,2
0000-0200-0302,1e-4,2e-4,NA,NA,NA,1,3
0000-0200-0303,9e-4,5e-4,4e-4,6.000000000000001e-4,2.6457513110645904e-4,1,3
0000-0203-0303,4e-4,4e-4,NA,NA,NA,1,3
0000-0300,0.0012,9e-4,8e-4,9.666666666666667e-4,2.081665999466132e-4,1,2
0000-0300-0302,1e-4,2e-4,1e-4,1.3333333333333334e-4,5.773502691896258e-5,1,3
0000-0300-0303,6e-4,8e-4,0.0014,9.333333333333333e-4,4.1633319989322655e-4,1,3
0000-0302,1e-4,NA,NA,NA,NA,1,2
0000-0303,0.0014,0.0011,9e-4,0.0011333333333333334,2.5166114784235834e-4,1,2
0001,2e-4,2e-4,2e-4,2e-4,0,1,1
0001-0003-0201-0303,1e-4,NA,2e-4,NA,NA,1,4
0001-0003-0301-0303,5e-4,4e-4,8e-4,5.666666666666667e-4,2.0816659994661328e-4,1,4
0001-0003-0303,0.0018,0.0017,0.0016,0.0017,9.999999999999994e-5,1,3
0001-0101-0303,3e-4,4e-4,NA,NA,NA,1,3
0001-0103-0303,6e-4,8e-4,4e-4,6.000000000000001e-4,2e-4,1,3
0001-0201-0303,2e-4,2e-4,2e-4,2e-4,0,1,3
0001-0203-0301-0303,1e-4,NA,NA,NA,NA,1,4
0001-0203-0303,2e-4,NA,NA,NA,NA,1,3
0001-0301-0303,4e-4,6e-4,8e-4,6.000000000000001e-4,2e-4,1,3
0001-0303,5e-4,2e-4,7e-4,4.6666666666666666e-4,2.5166114784235834e-4,1,2
0002,1e-4,1e-4,1e-4,1e-4,0,1,1
0002-0003-0302-0303,3e-4,7e-4,6e-4,5.333333333333334e-4,2.0816659994661328e-4,1,4
0002-0010,0.0038,0.0043,0.0037,0.003933333333333334,3.214550253664318e-4,1,2
0002-0010-0102,3e-4,7e-4,2e-4,3.9999999999999996e-4,2.6457513110645904e-4,1,3
0002-0010-0102-0110,1e-4,NA,NA,NA,NA,1,4
0002-0010-0200-0202,1e-4,2e-4,4e-4,2.3333333333333333e-4,1.5275252316519468e-4,1,4
0002-0010-0202,1e-4,1e-4,1e-4,1e-4,0,1,3
0002-0010-0300-0302,0.001,9e-4,8e-4,9e-4,9.999999999999999e-5,1,4
0002-0010-0302,1e-4,2e-4,NA,NA,NA,1,3
0002-0102,1e-4,2e-4,NA,NA,NA,1,2
0002-0202,1e-4,NA,1e-4,NA,NA,1,2
0003,1e-4,2e-4,NA,NA,NA,1,1
0003-0010,9e-4,0.001,0.0013,0.0010666666666666667,2.0816659994661325e-4,1,2
0003-0010-0103,2e-4,3e-4,2e-4,2.3333333333333333e-4,5.773502691896256e-5,1,3
0003-0010-0200-0303,4e-4,5e-4,4e-4,4.3333333333333337e-4,5.773502691896257e-5,1,4
0003-0010-0203,6e-4,4e-4,5e-4,5e-4,9.999999999999996e-5,1,3
0003-0010-0300-0303,0.0027,0.0027,0.0029,0.002766666666666667,1.1547005383792495e-4,1,4
0003-0010-0303,0.0285,0.0296,0.0302,0.029433333333333336,8.621678104251709e-4,1,3
0003-0011,2e-4,NA,NA,NA,NA,1,2
0003-0011-0111-0301-0303,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1,5
0003-0011-0301-0303,0.0012,7e-4,0.0014,0.0010999999999999998,3.6055512754639893e-4,1,4
0003-0011-0303,2e-4,NA,2e-4,NA,NA,1,3
0003-0203,2e-4,NA,NA,NA,NA,1,2
0003-0303,0.0047,0.0028,0.0035,0.0036666666666666666,9.60902353693305e-4,1,2
0010,0.0348,0.0337,0.0328,0.03376666666666667,0.0010016652800877786,1,1
0010-0011,0.0053,0.0081,0.0061,0.0065,0.0014422205101855955,1,2
0010-0011-0200-0201,4e-4,4e-4,3e-4,3.6666666666666667e-4,5.7735026918962605e-5,1,4
0010-0011-0300-0301,0.0018,0.0021,0.0021,0.002,1.7320508075688767e-4,1,4
0010-0012,0.0015,0.0015,0.0013,0.0014333333333333333,1.1547005383792521e-4,1,2
0010-0012-0102-0300-0302,2e-4,NA,NA,NA,NA,1,5
0010-0012-0102-0302,2e-4,3e-4,4e-4,3.0000000000000003e-4,1e-4,1,4
0010-0012-0112-0302,3e-4,5e-4,NA,NA,NA,1,4
0010-0012-0202-0300-0302,1e-4,NA,1e-4,NA,NA,1,5
0010-0012-0202-0302,3e-4,1e-4,4e-4,2.666666666666667e-4,1.5275252316519468e-4,1,4
0010-0012-0212-0300-0302,1e-4,NA,2e-4,NA,NA,1,5
0010-0012-0212-0302,1e-4,NA,NA,NA,NA,1,4
0010-0012-0300-0302,6e-4,0.0014,9e-4,9.666666666666667e-4,4.0414518843273807e-4,1,4
0010-0012-0302,0.0034,0.0033,0.003,0.0032333333333333333,2.0816659994661317e-4,1,3
0010-0012-0312,1e-4,3e-4,3e-4,2.3333333333333333e-4,1.1547005383792513e-4,1,3
0010-0013,6e-4,8e-4,0.0012,8.666666666666666e-4,3.055050463303893e-4,1,2
0010-0013-0100-0203-0300-0303,1e-4,NA,NA,NA,NA,1,6
0010-0013-0103-0300-0303,1e-4,1e-4,1e-4,1e-4,0,1,5
0010-0013-0103-0303,0.001,8e-4,9e-4,9e-4,9.999999999999999e-5,1,4
0010-0013-0113,3e-4,NA,1e-4,NA,NA,1,3
0010-0013-0113-0300-0303,2e-4,NA,1e-4,NA,NA,1,5
0010-0013-0113-0303,9e-4,0.0014,0.001,0.0011,2.6457513110645904e-4,1,4
0010-0013-0200-0303,1e-4,3e-4,NA,NA,NA,1,4
0010-0013-0203-0300-0303,1e-4,NA,1e-4,NA,NA,1,5
0010-0013-0203-0303,2e-4,6e-4,6e-4,4.6666666666666666e-4,2.3094010767585026e-4,1,4
0010-0013-0213,1e-4,NA,1e-4,NA,NA,1,3
0010-0013-0213-0300-0303,1e-4,1e-4,2e-4,1.3333333333333334e-4,5.773502691896258e-5,1,5
0010-0013-0213-0303,6e-4,6e-4,5e-4,5.666666666666666e-4,5.7735026918962544e-5,1,4
0010-0013-0300-0303,0.0015,0.0017,9e-4,0.0013666666666666666,4.1633319989322655e-4,1,4
0010-0013-0303,0.0077,0.0075,0.0083,0.007833333333333333,4.1633319989322666e-4,1,3
0010-0013-0313,1e-4,NA,1e-4,NA,NA,1,3
0010-0100-0103-0300-0303,2e-4,NA,1e-4,NA,NA,1,5
0010-0100-0200-0303,2e-4,1e-4,NA,NA,NA,1,4
0010-0100-0300,5e-4,1e-4,3e-4,3e-4,2e-4,1,3
0010-0100-0300-0303,6e-4,6e-4,3e-4,5e-4,1.7320508075688773e-4,1,4
0010-0100-0303,6e-4,1e-4,1e-4,2.666666666666667e-4,2.8867513459481284e-4,1,3
0010-0103-0200-0303,2e-4,3e-4,5e-4,3.333333333333333e-4,1.5275252316519468e-4,1,4
0010-0103-0300-0303,0.0021,0.0021,0.0022,0.0021333333333333334,5.773502691896273e-5,1,4
0010-0103-0303,0.0093,0.0104,0.0106,0.0101,7.000000000000003e-4,1,3
0010-0110,2e-4,2e-4,1e-4,1.666666666666667e-4,5.773502691896258e-5,1,2
0010-0110-0300,1e-4,5e-4,5e-4,3.6666666666666667e-4,2.309401076758503e-4,1,3
0010-0110-0300-0303,7e-4,5e-4,8e-4,6.666666666666666e-4,1.5275252316519468e-4,1,4
0010-0110-0303,1e-4,4e-4,4e-4,3.0000000000000003e-4,1.7320508075688773e-4,1,3
0010-0113-0300-0303,3e-4,1e-4,NA,NA,NA,1,4
0010-0200,0.0022,0.0021,0.0015,0.0019333333333333333,3.7859388972001824e-4,1,2
0010-0200-0300-0303,4e-4,NA,2e-4,NA,NA,1,4
0010-0200-0303,0.0019,0.0036,0.0022,0.0025666666666666667,9.073771725877465e-4,1,3
0010-0203-0300-0303,0.001,5e-4,0.0011,8.666666666666667e-4,3.2145502536643183e-4,1,4
0010-0203-0303,0.0026,0.002,0.0028,0.0024666666666666665,4.163331998932265e-4,1,3
0010-0210-0300,1e-4,NA,2e-4,NA,NA,1,3
0010-0210-0300-0303,1e-4,1e-4,4e-4,2e-4,1.7320508075688773e-4,1,4
0010-0300,0.0084,0.0086,0.0079,0.0083,3.605551275463984e-4,1,2
