Parameter,nState,Avg,Std,HillRange
monoMulti,1,5.17722744508609e-4,2.6750752440983896e-4,1
monoMulti,2,0.9883457295561212,0.0018386467259399167,1
monoMulti,3,0.9690073704502566,0.005400055707489108,1
nState,1,5.17722744508609e-4,2.6750752440983896e-4,1
nState,2,0.9883457295561212,0.0018386467259399167,1
nState,3,1,0,1
Phase,1,0.02556958760336207,0.0011920529714581109,1
Phase,2,0.9925103766390104,0.0010357614897568118,1
Phase,3,1,0,1
monoMulti,1,0.01726768886209774,0.0030121079785272557,1-3
monoMulti,2,0.41857998105959093,0.005345267553076809,1-3
monoMulti,3,0.4401652469749415,0.016466328300448408,1-3
nState,1,0.01726768886209774,0.0030121079785272557,1-3
nState,2,0.420074641057135,0.005624230192949971,1-3
nState,3,0.9425477285621175,0.014169628933134216,1-3
Phase,1,0.023705052799743137,0.003510151486371621,1-3
Phase,2,0.4312301974172112,0.006100726229300761,1-3
Phase,3,0.947437744132577,0.013106641159877249,1-3
monoMulti,1,0.022009332075162463,0.0022595385062157878,2-3
monoMulti,2,0.25538381389052306,0.005382540322490689,2-3
monoMulti,3,0.24684407446072912,0.005855434338267328,2-3
nState,1,0.022009332075162463,0.0022595385062157878,2-3
nState,2,0.25768572063788875,0.005144447167650584,2-3
nState,3,0.8494688472420573,0.014185807295276789,2-3
Phase,1,0.02300871474697887,0.0016973418934840515,2-3
Phase,2,0.2672095933969594,0.0052153753778153645,2-3
Phase,3,0.8628302946512391,0.010873135147280413,2-3
monoMulti,1,0.02456355027782735,0.001551055450862016,2-4
monoMulti,2,0.19843983250148578,0.00265998392627203,2-4
monoMulti,3,0.17883468032222738,0.0011583053379285884,2-4
nState,1,0.02456355027782735,0.001551055450862016,2-4
nState,2,0.20141145029628274,0.0025836254560607065,2-4
nState,3,0.7932685659913645,0.01590893685211498,2-4
Phase,1,0.025080961508669522,0.0014556736535860427,2-4
Phase,2,0.20993033976615258,0.0029347720583951303,2-4
Phase,3,0.8074929368041401,0.01273639872424869,2-4
monoMulti,1,0.0353713340679632,0.0018088330626465146,3-5
monoMulti,2,0.11984837445061931,0.0011841706794560717,3-5
monoMulti,3,0.08002252291076778,0.001725502184291797,3-5
nState,1,0.03537133406796321,0.00180883306264651,3-5
nState,2,0.12303864220860733,0.0011951317766476734,3-5
nState,3,0.6391653684018843,0.007153264981871528,3-5
Phase,1,0.03595982797600769,0.0019476780426490108,3-5
Phase,2,0.13106280353562746,0.0011804914601023888,3-5
Phase,3,0.6545019436198555,0.010797365399572567,3-5
monoMulti,1,0.04188541632259722,0.0015809538552703029,4-6
monoMulti,2,0.08680601943147995,0.0023921818980353012,4-6
monoMulti,3,0.042238071566930685,0.004032518043185458,4-6
nState,1,0.04188541632259722,0.0015809538552703029,4-6
nState,2,0.0914579832017354,0.0027221283120863497,4-6
nState,3,0.578295765243346,0.005239767119968539,4-6
Phase,1,0.042596025673555436,0.0014850978377687703,4-6
Phase,2,0.09850494664820214,0.0026915368846949176,4-6
Phase,3,0.5949502708873844,0.00770661381495977,4-6
monoMulti,1,0.04077393520669007,0.0014496462933811971,5-7
monoMulti,2,0.07107370414750845,0.002692153253423167,5-7
monoMulti,3,0.031087744831709705,0.00200732320257224,5-7
nState,1,0.04077393520669008,0.0014496462933812021,5-7
nState,2,0.07605130724017106,0.0023683080514175308,5-7
nState,3,0.5107841890125537,0.010897516199142355,5-7
Phase,1,0.04159691791776585,0.001508826371921995,5-7
Phase,2,0.08197787016998435,0.002993632222280053,5-7
Phase,3,0.5246663241552081,0.011857734674273144,5-7
monoMulti,1,0.043774128570568616,0.002009557812774085,6-8
monoMulti,2,0.05926471293581179,3.520164527016706e-4,6-8
monoMulti,3,0.020629063261630394,5.67034325210225e-4,6-8
nState,1,0.043774128570568616,0.002009557812774085,6-8
nState,2,0.06439537560704542,3.0569587053246966e-4,6-8
nState,3,0.47147661119293316,0.004197431314521467,6-8
Phase,1,0.04464865093097611,0.002032067492071369,6-8
Phase,2,0.06949822511761355,3.3061203077889304e-4,6-8
Phase,3,0.4841885583270494,0.008399633505491418,6-8
monoMulti,1,0.04313152744866056,0.002896173342804545,7-9
monoMulti,2,0.051403699674460054,0.0025198946016588295,7-9
monoMulti,3,0.017228766045418058,0.0018499363872116128,7-9
nState,1,0.04313152744866056,0.002896173342804545,7-9
nState,2,0.057228643039297936,0.002390772214608718,7-9
