Parameter,nState,Avg,Std,HillRange
monoMulti,1,0.0021621405195654166,3.589750825417643e-4,1
monoMulti,2,0.9593918312450339,0.0037810342289983337,1
monoMulti,3,0.9171355778191499,0.006143800403743889,1
monoMulti,4,0.8403429037408261,0.02239208806795061,1
monoMulti,5,0.7972417520553999,0.09268302835438527,1
monoMulti,6,0.6553785567620362,0.3443612333748215,1
nState,1,0.0021621405195654166,3.589750825417643e-4,1
nState,2,0.9593918312450339,0.0037810342289983337,1
nState,3,1,0,1
nState,4,1,0,1
nState,5,1,0,1
nState,6,1,0,1
Phase,1,0.09678566202922004,0.01266539417870969,1
Phase,2,0.9922132581493854,2.4490707206221545e-4,1
Phase,3,1,6.521083742145178e-16,1
Phase,4,0.9999999999999999,8.81212206892831e-16,1
Phase,5,1,1.5700924586837752e-16,1
Phase,6,1,0,1
monoMulti,1,0.065905407999059,0.0018096437542939913,1-3
monoMulti,2,0.37080934481401157,0.005439829184953149,1-3
monoMulti,3,0.31272275736651034,0.006035783413469845,1-3
monoMulti,4,0.2775666645111509,0.015581212070856523,1-3
monoMulti,5,0.2392806291577531,0.05369702793107019,1-3
monoMulti,6,0.21993255701452913,0.10814675508755278,1-3
nState,1,0.065905407999059,0.0018096437542939913,1-3
nState,2,0.45545437721491316,0.008538791362805671,1-3
nState,3,0.7296143981467645,0.016264604286746382,1-3
nState,4,0.916182932476939,0.010328780070514573,1-3
nState,5,1,0,1-3
nState,6,1,0,1-3
Phase,1,0.1526318315635862,0.007224444868078315,1-3
Phase,2,0.7603356970103584,0.005999022333784872,1-3
Phase,3,0.8814222712013384,0.005072423578775941,1-3
Phase,4,0.9643199681829027,0.006318729499266415,1-3
Phase,5,0.9999999999999998,2.220446049250313e-16,1-3
Phase,6,0.9999999999999999,1.3597399555105182e-16,1-3
monoMulti,1,0.08881649313742572,0.003242029498825632,2-3
monoMulti,2,0.2834242327439178,0.0038701543669393324,2-3
monoMulti,3,0.22475760578520487,0.003940590877963154,2-3
monoMulti,4,0.19093689939099795,0.0064665584124202966,2-3
monoMulti,5,0.18274541189087296,0.02595494627381925,2-3
